Trimestre,Distrito,PER,Precio_Venta_USD,Tipo_Cambio,Alquiler_Mensual_Soles,distrito_norm
2021-T4,Jesús María,19.0017,2110.17,4.0239,37.2381,Jesus Maria
2022-T1,Jesús María,18.4524,2101.56,3.8063,36.1251,Jesus Maria
2022-T2,Jesús María,18.1232,2112.75,3.7481,36.4121,Jesus Maria
2022-T3,Jesús María,17.737,2168.67,3.8912,39.6478,Jesus Maria
2022-T4,Jesús María,17.4217,2200.0,3.8951,40.9888,Jesus Maria
2023-T1,Jesús María,16.703,2148.65,3.8178,40.926,Jesus Maria
2023-T2,Jesús María,17.0215,2161.02,3.7018,39.1644,Jesus Maria
2023-T3,Jesús María,17.8417,2163.62,3.6758,37.146,Jesus Maria
2023-T4,Jesús María,17.1111,2186.74,3.78,40.2559,Jesus Maria
2024-T1,Jesús María,17.1413,2177.15,3.7589,39.7853,Jesus Maria
2024-T2,Jesús María,16.8805,2200.0,3.7429,40.6507,Jesus Maria
2024-T3,Jesús María,16.2077,2187.5,3.758,42.2668,Jesus Maria
2024-T4,Jesús María,16.5997,2222.22,3.7558,41.8991,Jesus Maria
2025-T1,Jesús María,15.7252,2230.33,3.6993,43.7238,Jesus Maria
2025-T2,Jesús María,15.9674,2211.76,3.6546,42.1854,Jesus Maria
2025-T3,Jesús María,15.9847,2249.97,3.5341,41.4541,Jesus Maria
2025-T4,Jesús María,16.6538,2400.0,3.3846,40.6461,Jesus Maria
2026-T1,Jesús María,17.5246,2463.92,3.3868,39.6817,Jesus Maria
2013-T3,La Molina,15.5026,1838.37,2.7857,27.5282,La Molina
2013-T4,La Molina,16.4338,1745.43,2.7842,24.6421,La Molina
2014-T1,La Molina,17.1822,1828.36,2.8093,24.9116,La Molina
2014-T2,La Molina,16.875,2017.4,2.7919,27.8139,La Molina
2014-T3,La Molina,16.2408,1937.25,2.8215,28.0465,La Molina
2014-T4,La Molina,16.3721,1969.4,2.9309,29.3796,La Molina
2015-T1,La Molina,17.2078,1857.14,3.0586,27.508,La Molina
2015-T2,La Molina,18.3755,1803.85,3.1439,25.7185,La Molina
2015-T3,La Molina,16.9935,1844.12,3.2127,29.0537,La Molina
2015-T4,La Molina,18.5464,1854.39,3.3226,27.6842,La Molina
2016-T1,La Molina,18.1325,1814.52,3.4502,28.7717,La Molina
2016-T2,La Molina,19.0632,1894.74,3.3173,27.4761,La Molina
2016-T3,La Molina,20.6245,1850.0,3.338,24.9515,La Molina
2016-T4,La Molina,21.6014,1876.19,3.3947,24.5708,La Molina
2017-T1,La Molina,18.9326,1847.13,3.2879,26.7312,La Molina
2017-T2,La Molina,20.7744,1829.59,3.2627,23.9451,La Molina
2017-T3,La Molina,18.9723,1850.0,3.2455,26.3726,La Molina
2017-T4,La Molina,18.9956,1808.97,3.2459,25.7593,La Molina
2018-T1,La Molina,18.9172,1896.69,3.2385,27.0583,La Molina
2018-T2,La Molina,18.1777,1848.48,3.2584,27.6121,La Molina
2018-T3,La Molina,19.7894,1842.59,3.292,25.5432,La Molina
2018-T4,La Molina,18.4569,1819.81,3.3575,27.5871,La Molina
2019-T1,La Molina,19.2516,1800.0,3.3233,25.894,La Molina
2019-T2,La Molina,19.3582,1853.45,3.3206,26.4943,La Molina
2019-T3,La Molina,21.9171,1875.0,3.3417,23.8235,La Molina
2019-T4,La Molina,19.5118,1776.86,3.3622,25.5153,La Molina
2020-T1,La Molina,18.4524,1830.99,3.403,28.1395,La Molina
2020-T2,La Molina,19.2776,1915.38,3.4296,28.3965,La Molina
2020-T3,La Molina,19.3056,1781.61,3.5451,27.2635,La Molina
2020-T4,La Molina,22.3056,1981.13,3.602,26.6602,La Molina
2021-T1,La Molina,21.2364,1981.13,3.6593,28.4481,La Molina
2021-T2,La Molina,20.3441,1949.36,3.7944,30.2984,La Molina
2021-T3,La Molina,23.4828,1949.71,4.0446,27.9841,La Molina
2021-T4,La Molina,23.9837,1962.5,4.0239,27.4382,La Molina
2022-T1,La Molina,23.3234,1888.83,3.8063,25.6874,La Molina
2022-T2,La Molina,21.0842,1925.62,3.7481,28.5265,La Molina
2022-T3,La Molina,18.2716,1923.54,3.8912,34.1374,La Molina
2022-T4,La Molina,19.1565,1986.63,3.8951,33.6616,La Molina
2023-T1,La Molina,18.5718,1928.78,3.8178,33.0412,La Molina
2023-T2,La Molina,19.4807,2000.0,3.7018,31.6706,La Molina
2023-T3,La Molina,18.2887,1946.17,3.6758,32.596,La Molina
2023-T4,La Molina,18.7456,1957.98,3.78,32.9018,La Molina
2024-T1,La Molina,19.3059,1844.66,3.7589,29.9298,La Molina
2024-T2,La Molina,20.1737,1911.43,3.7429,29.5532,La Molina
2024-T3,La Molina,18.9071,1900.83,3.758,31.484,La Molina
2024-T4,La Molina,19.4813,1856.62,3.7558,29.828,La Molina
2025-T1,La Molina,17.309,1944.44,3.6993,34.6313,La Molina
2025-T2,La Molina,16.1862,1911.76,3.6546,35.9705,La Molina
2025-T3,La Molina,18.1189,1962.03,3.5341,31.8908,La Molina
2025-T4,La Molina,15.4008,2000.0,3.3846,36.6275,La Molina
2026-T1,La Molina,15.518,2098.61,3.3868,38.1688,La Molina
2013-T3,Lince,15.4209,2209.6,2.7857,33.2624,Lince
2013-T4,Lince,15.5011,2206.61,2.7842,33.0275,Lince
2014-T1,Lince,16.2081,2344.44,2.8093,33.8632,Lince
2014-T2,Lince,15.1508,2357.14,2.7919,36.1962,Lince
2014-T3,Lince,15.2246,2100.63,2.8215,32.4417,Lince
2014-T4,Lince,14.9487,2200.0,2.9309,35.9446,Lince
2015-T1,Lince,14.588,2187.5,3.0586,38.22,Lince
2015-T2,Lince,15.5556,2071.43,3.1439,34.8874,Lince
2015-T3,Lince,14.3885,2187.5,3.2127,40.7031,Lince
2015-T4,Lince,14.3916,2063.18,3.3226,39.6935,Lince
2016-T1,Lince,15.4227,2214.29,3.4502,41.2797,Lince
2016-T2,Lince,13.6715,2000.0,3.3173,40.4403,Lince
2016-T3,Lince,16.5692,2313.27,3.338,38.8358,Lince
2016-T4,Lince,13.3738,2277.91,3.3947,48.1843,Lince
2017-T1,Lince,14.0167,2316.01,3.2879,45.2715,Lince
2017-T2,Lince,15.1911,2244.57,3.2627,40.1734,Lince
2017-T3,Lince,15.9414,2188.64,3.2455,37.132,Lince
2017-T4,Lince,13.5597,2294.12,3.2459,45.7639,Lince
2018-T1,Lince,14.6309,2169.23,3.2385,40.0124,Lince
2018-T2,Lince,13.9372,2164.18,3.2584,42.1637,Lince
2018-T3,Lince,15.7084,2295.92,3.292,40.0962,Lince
2018-T4,Lince,15.7243,2206.57,3.3575,39.2633,Lince
2019-T1,Lince,14.5011,2294.6,3.3233,43.8229,Lince
2019-T2,Lince,14.584,2231.88,3.3206,42.3479,Lince
2019-T3,Lince,15.6698,2223.78,3.3417,39.52,Lince
2019-T4,Lince,14.5464,2217.33,3.3622,42.709,Lince
2020-T1,Lince,15.455,2191.01,3.403,40.2032,Lince
2020-T2,Lince,15.1636,2356.42,3.4296,44.4134,Lince
2020-T3,Lince,17.4183,2208.33,3.5451,37.4551,Lince
2020-T4,Lince,18.4133,2214.74,3.602,36.1038,Lince
2021-T1,Lince,17.7258,2173.49,3.6593,37.3914,Lince
2021-T2,Lince,18.305,2092.8,3.7944,36.1513,Lince
2021-T3,Lince,18.6072,2124.77,4.0446,38.4878,Lince
2021-T4,Lince,19.9724,2040.06,4.0239,34.2512,Lince
2022-T1,Lince,17.7596,1973.84,3.8063,35.2534,Lince
2022-T2,Lince,17.1398,2164.06,3.7481,39.4365,Lince
2022-T3,Lince,16.8774,2142.86,3.8912,41.1712,Lince
2022-T4,Lince,16.9945,2168.89,3.8951,41.4251,Lince
2023-T1,Lince,17.3692,2135.92,3.8178,39.1231,Lince
2023-T2,Lince,16.9198,2171.01,3.7018,39.5819,Lince
2023-T3,Lince,16.9004,2118.64,3.6758,38.3998,Lince
2023-T4,Lince,16.861,2307.36,3.78,43.1064,Lince
2024-T1,Lince,16.2307,2300.46,3.7589,44.3972,Lince
2024-T2,Lince,17.6448,2276.92,3.7429,40.2495,Lince
2024-T3,Lince,18.2562,2232.14,3.758,38.2899,Lince
2024-T4,Lince,17.0762,2225.91,3.7558,40.7977,Lince
2025-T1,Lince,16.22,2143.72,3.6993,40.7438,Lince
2025-T2,Lince,14.0104,2300.0,3.6546,49.9957,Lince
2025-T3,Lince,14.2205,2272.08,3.5341,47.0548,Lince
2025-T4,Lince,14.9658,2460.94,3.3846,46.3789,Lince
2026-T1,Lince,15.0697,2604.5,3.3868,48.7791,Lince
2013-T3,Magdalena,15.0552,1666.67,2.7857,25.6987,Magdalena
2013-T4,Magdalena,14.9834,1653.85,2.7842,25.6094,Magdalena
2014-T1,Magdalena,14.9716,1807.28,2.8093,28.2604,Magdalena
2014-T2,Magdalena,15.015,1991.45,2.7919,30.8572,Magdalena
2014-T3,Magdalena,15.2505,1870.0,2.8215,28.8308,Magdalena
2014-T4,Magdalena,15.0973,1715.35,2.9309,27.7504,Magdalena
2015-T1,Magdalena,14.6748,1821.79,3.0586,31.6419,Magdalena
2015-T2,Magdalena,15.9788,1801.29,3.1439,29.5341,Magdalena
2015-T3,Magdalena,15.2987,1759.33,3.2127,30.7884,Magdalena
2015-T4,Magdalena,15.2162,1766.67,3.3226,32.1471,Magdalena
2016-T1,Magdalena,14.9526,1697.8,3.4502,32.6462,Magdalena
2016-T2,Magdalena,15.4187,1654.26,3.3173,29.6591,Magdalena
2016-T3,Magdalena,15.713,1719.38,3.338,30.4383,Magdalena
2016-T4,Magdalena,17.3478,1681.76,3.3947,27.4249,Magdalena
2017-T1,Magdalena,15.0896,1816.17,3.2879,32.9769,Magdalena
2017-T2,Magdalena,15.8376,1826.09,3.2627,31.3491,Magdalena
2017-T3,Magdalena,16.047,1745.79,3.2455,29.4238,Magdalena
2017-T4,Magdalena,16.2015,1666.67,3.2459,27.8259,Magdalena
2018-T1,Magdalena,16.8203,1686.48,3.2385,27.0588,Magdalena
2018-T2,Magdalena,17.8157,1666.67,3.2584,25.4021,Magdalena
2018-T3,Magdalena,17.4695,1653.54,3.292,25.9665,Magdalena
2018-T4,Magdalena,17.8571,1754.7,3.3575,27.4935,Magdalena
2019-T1,Magdalena,16.1364,1726.8,3.3233,29.6367,Magdalena
2019-T2,Magdalena,16.8388,1778.35,3.3206,29.2243,Magdalena
2019-T3,Magdalena,16.293,1734.95,3.3417,29.6533,Magdalena
2019-T4,Magdalena,17.014,1725.84,3.3622,28.4209,Magdalena
2020-T1,Magdalena,14.8135,1688.26,3.403,32.3196,Magdalena
2020-T2,Magdalena,16.648,1750.0,3.4296,30.0426,Magdalena
2020-T3,Magdalena,17.9717,1790.2,3.5451,29.4282,Magdalena
2020-T4,Magdalena,18.0643,1769.23,3.602,29.3985,Magdalena
2021-T1,Magdalena,20.3829,1764.29,3.6593,26.3951,Magdalena
2021-T2,Magdalena,18.6028,1781.61,3.7944,30.2831,Magdalena
2021-T3,Magdalena,20.8214,1781.62,4.0446,28.8401,Magdalena
2021-T4,Magdalena,19.8517,1733.78,4.0239,29.286,Magdalena
2022-T1,Magdalena,17.6966,1726.36,3.8063,30.9431,Magdalena
2022-T2,Magdalena,17.3425,1791.51,3.7481,32.2657,Magdalena
2022-T3,Magdalena,19.2817,1693.55,3.8912,28.4811,Magdalena
2022-T4,Magdalena,17.9808,1723.49,3.8951,31.1124,Magdalena
2023-T1,Magdalena,17.035,1750.0,3.8178,32.6831,Magdalena
2023-T2,Magdalena,16.7193,1714.29,3.7018,31.6297,Magdalena
2023-T3,Magdalena,17.1461,1735.29,3.6758,31.0009,Magdalena
2023-T4,Magdalena,17.2758,1744.93,3.78,31.8163,Magdalena
2024-T1,Magdalena,17.0323,1675.77,3.7589,30.819,Magdalena
2024-T2,Magdalena,16.7793,1724.51,3.7429,32.0568,Magdalena
2024-T3,Magdalena,16.4609,1700.0,3.758,32.3421,Magdalena
2024-T4,Magdalena,15.8399,1679.69,3.7558,33.189,Magdalena
2025-T1,Magdalena,16.06,1706.23,3.6993,32.7517,Magdalena
2025-T2,Magdalena,15.6494,1700.0,3.6546,33.0832,Magdalena
2025-T3,Magdalena,15.1515,1729.93,3.5341,33.6253,Magdalena
2025-T4,Magdalena,16.2307,1872.65,3.3846,32.5418,Magdalena
2026-T1,Magdalena,15.3865,1818.18,3.3868,33.351,Magdalena
2013-T3,Miraflores,16.3155,1500.0,2.7857,21.3422,Miraflores
2013-T4,Miraflores,15.9251,1557.8,2.7842,22.6957,Miraflores
2014-T1,Miraflores,16.7659,1511.11,2.8093,21.1004,Miraflores
2014-T2,Miraflores,17.4085,1569.75,2.7919,20.9788,Miraflores
2014-T3,Miraflores,15.8333,1616.4,2.8215,24.0037,Miraflores
2014-T4,Miraflores,15.4573,1630.43,2.9309,25.7623,Miraflores
2015-T1,Miraflores,16.1416,1515.11,3.0586,23.9241,Miraflores
2015-T2,Miraflores,16.4533,1551.72,3.1439,24.7084,Miraflores
2015-T3,Miraflores,15.8825,1538.46,3.2127,25.9336,Miraflores
2015-T4,Miraflores,17.03,1491.18,3.3226,24.2441,Miraflores
2016-T1,Miraflores,17.8869,1551.78,3.4502,24.9436,Miraflores
2016-T2,Miraflores,17.6474,1491.53,3.3173,23.3642,Miraflores
2016-T3,Miraflores,18.1992,1506.3,3.338,23.0232,Miraflores
2016-T4,Miraflores,18.7654,1474.05,3.3947,22.2218,Miraflores
2017-T1,Miraflores,17.2795,1590.74,3.2879,25.2233,Miraflores
2017-T2,Miraflores,17.0719,1589.31,3.2627,25.3117,Miraflores
2017-T3,Miraflores,18.8649,1665.0,3.2455,23.8705,Miraflores
2017-T4,Miraflores,17.535,1600.0,3.2459,24.6814,Miraflores
2018-T1,Miraflores,17.169,1644.49,3.2385,25.8491,Miraflores
2018-T2,Miraflores,17.2194,1651.38,3.2584,26.0406,Miraflores
2018-T3,Miraflores,18.2142,1674.16,3.292,25.2153,Miraflores
2018-T4,Miraflores,17.7965,1656.25,3.3575,26.0394,Miraflores
2019-T1,Miraflores,17.5206,1700.0,3.3233,26.8716,Miraflores
2019-T2,Miraflores,18.6552,1788.32,3.3206,26.5267,Miraflores
2019-T3,Miraflores,17.8775,1780.99,3.3417,27.7423,Miraflores
2019-T4,Miraflores,17.7888,1733.56,3.3622,27.3047,Miraflores
2020-T1,Miraflores,17.0389,1743.69,3.403,29.021,Miraflores
2020-T2,Miraflores,17.8793,1685.39,3.4296,26.941,Miraflores
2020-T3,Miraflores,19.9175,1616.28,3.5451,23.9736,Miraflores
2020-T4,Miraflores,20.3081,1688.32,3.602,24.9544,Miraflores
2021-T1,Miraflores,20.0,1709.3,3.6593,26.0621,Miraflores
2021-T2,Miraflores,21.1015,1692.0,3.7944,25.3544,Miraflores
2021-T3,Miraflores,22.2222,1631.51,4.0446,24.7454,Miraflores
2021-T4,Miraflores,20.3924,1658.33,4.0239,27.2688,Miraflores
2022-T1,Miraflores,19.2901,1728.16,3.8063,28.4164,Miraflores
2022-T2,Miraflores,18.9605,1679.99,3.7481,27.6752,Miraflores
2022-T3,Miraflores,19.5181,1648.34,3.8912,27.3852,Miraflores
2022-T4,Miraflores,19.8611,1726.19,3.8951,28.211,Miraflores
2023-T1,Miraflores,18.1066,1651.09,3.8178,29.0108,Miraflores
2023-T2,Miraflores,18.8559,1783.02,3.7018,29.1701,Miraflores
2023-T3,Miraflores,18.3521,1800.0,3.6758,30.0437,Miraflores
2023-T4,Miraflores,19.1371,1741.19,3.78,28.6602,Miraflores
2024-T1,Miraflores,18.4482,1780.82,3.7589,30.2375,Miraflores
2024-T2,Miraflores,18.3333,1791.67,3.7429,30.4821,Miraflores
2024-T3,Miraflores,18.2292,1768.12,3.758,30.3751,Miraflores
2024-T4,Miraflores,20.1288,1777.78,3.7558,27.6425,Miraflores
2025-T1,Miraflores,17.5814,1748.57,3.6993,30.6602,Miraflores
2025-T2,Miraflores,16.8954,1805.31,3.6546,32.5416,Miraflores
2025-T3,Miraflores,16.1932,1949.15,3.5341,35.4493,Miraflores
2025-T4,Miraflores,17.5,2086.18,3.3846,33.6228,Miraflores
2026-T1,Miraflores,17.7785,2102.95,3.3868,33.3846,Miraflores
2013-T3,Promedio,15.8898,1549.01,2.7857,22.63,Promedio
2013-T4,Promedio,16.1137,1614.1,2.7842,23.2408,Promedio
2014-T1,Promedio,16.525,1566.27,2.8093,22.1893,Promedio
2014-T2,Promedio,16.4096,1589.04,2.7919,22.5294,Promedio
2014-T3,Promedio,16.048,1586.67,2.8215,23.2469,Promedio
2014-T4,Promedio,16.1343,1612.93,2.9309,24.4163,Promedio
2015-T1,Promedio,16.2164,1500.0,3.0586,23.5763,Promedio
2015-T2,Promedio,16.8696,1533.94,3.1439,23.8225,Promedio
2015-T3,Promedio,16.7919,1616.28,3.2127,25.7698,Promedio
2015-T4,Promedio,16.6972,1518.99,3.3226,25.1885,Promedio
2016-T1,Promedio,16.6903,1511.67,3.4502,26.0409,Promedio
2016-T2,Promedio,17.4268,1554.05,3.3173,24.6518,Promedio
2016-T3,Promedio,18.0139,1516.41,3.338,23.4163,Promedio
2016-T4,Promedio,17.6371,1508.47,3.3947,24.1956,Promedio
2017-T1,Promedio,17.0898,1570.99,3.2879,25.1866,Promedio
2017-T2,Promedio,17.629,1484.38,3.2627,22.8934,Promedio
2017-T3,Promedio,18.2677,1571.43,3.2455,23.2654,Promedio
2017-T4,Promedio,17.1235,1554.05,3.2459,24.5488,Promedio
2018-T1,Promedio,17.0716,1590.05,3.2385,25.136,Promedio
2018-T2,Promedio,16.7709,1645.7,3.2584,26.6451,Promedio
2018-T3,Promedio,17.2296,1588.68,3.292,25.2954,Promedio
2018-T4,Promedio,17.5589,1668.95,3.3575,26.5941,Promedio
2019-T1,Promedio,16.9994,1663.33,3.3233,27.0982,Promedio
2019-T2,Promedio,17.3849,1669.5,3.3206,26.5736,Promedio
2019-T3,Promedio,17.555,1734.43,3.3417,27.5133,Promedio
2019-T4,Promedio,17.5948,1686.13,3.3622,26.8505,Promedio
2020-T1,Promedio,16.629,1706.67,3.403,29.105,Promedio
2020-T2,Promedio,17.394,1652.39,3.4296,27.1505,Promedio
2020-T3,Promedio,18.8522,1793.66,3.5451,28.108,Promedio
2020-T4,Promedio,19.6939,1746.38,3.602,26.6176,Promedio
2021-T1,Promedio,19.5544,1736.55,3.6593,27.0809,Promedio
2021-T2,Promedio,20.0346,1723.08,3.7944,27.195,Promedio
2021-T3,Promedio,21.1664,1733.33,4.0446,27.6011,Promedio
2021-T4,Promedio,20.7835,1769.23,4.0239,28.5449,Promedio
2022-T1,Promedio,19.2447,1695.56,3.8063,27.9462,Promedio
2022-T2,Promedio,18.6324,1720.0,3.7481,28.8333,Promedio
2022-T3,Promedio,18.9659,1710.53,3.8912,29.2456,Promedio
2022-T4,Promedio,18.9091,1700.0,3.8951,29.1818,Promedio
2023-T1,Promedio,18.0227,1682.93,3.8178,29.7079,Promedio
2023-T2,Promedio,18.1835,1671.36,3.7018,28.3546,Promedio
2023-T3,Promedio,18.0642,1722.22,3.6758,29.2037,Promedio
2023-T4,Promedio,18.2541,1712.74,3.78,29.5556,Promedio
2024-T1,Promedio,17.7067,1708.33,3.7589,30.2213,Promedio
2024-T2,Promedio,17.7999,1722.79,3.7429,30.1888,Promedio
2024-T3,Promedio,16.9866,1686.75,3.758,31.0969,Promedio
2024-T4,Promedio,17.4905,1720.0,3.7558,30.7784,Promedio
2025-T1,Promedio,17.0788,1732.28,3.6993,31.2684,Promedio
2025-T2,Promedio,16.4276,1753.25,3.6546,32.5032,Promedio
2025-T3,Promedio,16.5214,1768.12,3.5341,31.5179,Promedio
2025-T4,Promedio,16.3434,1848.58,3.3846,31.9019,Promedio
2026-T1,Promedio,16.6728,1856.33,3.3868,31.4238,Promedio
2013-T3,Pueblo Libre,15.2822,1453.49,2.7857,22.0787,Pueblo Libre
2013-T4,Pueblo Libre,16.1238,1468.97,2.7842,21.1379,Pueblo Libre
2014-T1,Pueblo Libre,16.3125,1453.49,2.8093,20.8598,Pueblo Libre
2014-T2,Pueblo Libre,16.4529,1504.17,2.7919,21.2699,Pueblo Libre
2014-T3,Pueblo Libre,15.8749,1443.3,2.8215,21.377,Pueblo Libre
2014-T4,Pueblo Libre,16.3008,1350.38,2.9309,20.2332,Pueblo Libre
2015-T1,Pueblo Libre,16.1247,1615.9,3.0586,25.5424,Pueblo Libre
2015-T2,Pueblo Libre,16.7302,1333.33,3.1439,20.8796,Pueblo Libre
2015-T3,Pueblo Libre,16.6185,1538.46,3.2127,24.785,Pueblo Libre
2015-T4,Pueblo Libre,16.9896,1435.44,3.3226,23.3934,Pueblo Libre
2016-T1,Pueblo Libre,17.5206,1440.79,3.4502,23.6436,Pueblo Libre
2016-T2,Pueblo Libre,16.2118,1422.62,3.3173,24.2582,Pueblo Libre
2016-T3,Pueblo Libre,17.3657,1789.47,3.338,28.6643,Pueblo Libre
2016-T4,Pueblo Libre,16.199,1394.84,3.3947,24.359,Pueblo Libre
2017-T1,Pueblo Libre,16.6936,1491.38,3.2879,24.4777,Pueblo Libre
2017-T2,Pueblo Libre,17.2163,1654.55,3.2627,26.1296,Pueblo Libre
2017-T3,Pueblo Libre,17.6678,1598.3,3.2455,24.4668,Pueblo Libre
2017-T4,Pueblo Libre,15.8393,1431.9,3.2459,24.4531,Pueblo Libre
2018-T1,Pueblo Libre,15.453,1565.68,3.2385,27.3433,Pueblo Libre
